CaseID,B3,ND2,ppethm,ppeduc5,GH1,B7_a,weight_pop,worse_off
412,2,1,1,5,2,3,20481.7834,1
413,2,3,5,2,1,2,13817.5687,1
414,3,3,2,2,1,1,53047.7009,0
415,3,3,2,5,1,3,15898.4642,0
416,3,3,1,4,1,2,30850.2665,0
417,2,3,1,5,3,1,16733.4566,1
418,2,3,4,1,1,3,80826.745,1
419,3,3,1,4,2,3,15092.0511,0
420,3,2,1,4,2,3,16899.5227,0
421,2,1,1,5,2,2,13090.7683,1
422,4,3,1,4,2,2,10151.1496,0
423,2,3,1,2,1,1,15051.257,1
424,2,2,4,3,3,2,15231.9931,1
425,3,3,1,3,2,2,13577.5963,0
426,1,3,1,4,3,1,13900.4068,1
427,2,4,1,2,2,2,15051.257,1
428,3,3,1,2,1,2,20210.8441,0
429,3,3,2,5,1,2,29053.5394,0
430,2,3,1,4,2,3,15321.6202,1
431,2,2,3,5,3,3,30058.8039,1
432,3,3,1,3,1,2,23982.9993,0
433,2,3,1,5,1,3,12153.1069,1
434,2,2,1,3,2,2,23982.9993,1
435,3,3,1,2,2,3,17477.1008,0
436,3,3,1,2,1,3,28104.2223,0
437,4,2,1,3,1,2,32983.7615,0
438,3,3,1,5,1,3,30850.2665,0
439,1,3,1,5,1,2,7350.178,1
440,3,3,4,4,1,3,21359.9716,0
441,3,2,4,3,4,2,29392.9448,0
442,3,2,2,4,2,3,16140.2999,0
443,3,2,1,5,2,2,16899.5227,0
444,3,3,1,5,3,3,8544.126399999999,0
445,3,3,1,3,1,3,13374.1585,0
446,3,3,1,3,1,1,20617.8134,0
447,3,3,1,5,1,3,25685.9139,0
448,3,2,1,4,2,3,14052.8508,0
449,1,3,1,2,2,2,17903.5345,1
450,3,3,1,4,2,3,13090.7683,0
451,2,3,1,1,1,1,38436.3086,1
452,3,1,1,4,1,3,13063.8424,0
453,4,3,5,3,1,3,6957.7528,0
454,2,3,5,3,3,3,11114.6517,1
455,4,3,1,4,1,3,12570.0952,0
456,3,2,1,3,2,2,24347.811,0
457,2,3,1,4,1,3,30850.2665,1
458,3,1,1,5,2,3,27746.4885,0
459,3,3,1,3,2,3,17011.7611,0
460,3,3,1,4,3,3,9626.1235,0
461,3,5,1,2,1,2,12111.1869,0
462,3,3,1,1,2,2,19435.5888,0
463,3,3,4,5,3,2,19497.3383,0
464,3,3,5,2,1,4,12969.3468,0
465,3,3,2,2,2,2,26575.7818,0
466,3,3,1,2,1,3,16258.6986,0
467,2,3,3,5,1,2,21756.9117,1
468,3,3,1,4,2,3,13900.4068,0
469,2,3,1,2,2,1,19162.689,1
470,3,3,1,2,4,3,30186.4321,0
471,4,2,1,4,1,3,13299.2109,0
472,3,4,1,5,1,3,13289.8954,0
473,2,3,1,4,2,2,13090.7683,1
474,3,3,1,1,2,2,24744.6537,0
